iter	Passed	Remaining
0	151	151458
1	152	76056
2	153	50852
3	153	38286
4	157	31326
5	158	26199
6	158	22538
7	159	19794
8	160	17646
9	160	15928
10	161	14551
11	162	13388
12	163	12393
13	163	11537
14	164	10793
15	164	10146
16	165	9572
17	166	9060
18	166	8603
19	167	8195
20	170	7938
21	171	7615
22	172	7311
23	172	7026
24	173	6762
25	174	6521
26	175	6308
27	175	6106
28	176	5913
29	177	5730
30	177	5558
31	178	5396
32	179	5246
33	179	5103
34	180	4968
35	180	4844
36	181	4724
37	182	4620
38	184	4554
39	185	4454
40	186	4358
41	186	4265
42	187	4175
43	188	4091
44	189	4015
45	190	3940
46	190	3866
47	191	3794
48	191	3724
49	192	3657
50	193	3593
51	193	3532
52	194	3473
53	194	3415
54	195	3361
55	198	3344
56	199	3301
57	200	3253
58	201	3206
59	201	3160
60	202	3117
61	203	3080
62	204	3040
63	205	3000
64	205	2960
65	206	2921
66	207	2883
67	207	2846
68	208	2810
69	208	2775
70	209	2740
71	210	2708
72	213	2707
73	213	2677
74	214	2646
75	215	2616
76	215	2586
77	216	2559
78	217	2534
79	217	2506
80	218	2482
81	219	2456
82	219	2427
83	220	2402
84	220	2378
85	221	2355
86	222	2332
87	222	2309
88	223	2286
89	223	2264
90	224	2242
91	225	2228
92	227	2222
93	228	2203
94	229	2183
95	229	2164
96	230	2145
97	231	2127
98	232	2111
99	232	2095
100	233	2077
101	233	2059
102	234	2041
103	235	2024
104	235	2007
105	236	1991
106	236	1975
107	237	1959
108	237	1944
109	238	1928
110	238	1913
111	239	1899
112	240	1890
113	241	1877
114	242	1864
115	242	1851
116	243	1837
117	244	1824
118	244	1811
119	245	1799
120	246	1788
121	246	1776
122	247	1765
123	248	1754
124	248	1742
125	249	1730
126	249	1717
127	250	1706
128	251	1695
129	251	1684
130	252	1672
131	252	1661
132	253	1651
133	253	1640
134	254	1631
135	255	1623
136	257	1619
137	258	1611
138	258	1602
139	259	1592
140	259	1582
141	260	1571
142	260	1563
143	261	1555
144	262	1546
145	263	1538
146	263	1530
147	264	1521
148	264	1512
149	265	1504
150	265	1495
151	266	1487
152	267	1478
153	267	1470
154	268	1461
155	268	1453
156	272	1464
157	273	1457
158	274	1449
159	274	1441
160	275	1433
161	275	1425
162	276	1418
163	277	1412
164	277	1405
165	278	1398
166	278	1391
167	279	1384
168	280	1376
169	280	1369
170	281	1362
171	281	1356
172	282	1349
173	282	1342
174	283	1335
175	283	1329
176	284	1324
177	286	1322
178	287	1317
179	287	1311
180	288	1305
181	289	1299
182	289	1293
183	290	1287
184	290	1281
185	291	1275
186	292	1269
187	292	1264
188	293	1258
189	293	1252
190	294	1246
191	294	1240
192	295	1235
193	295	1229
194	296	1224
195	297	1218
196	297	1212
197	298	1207
198	298	1202
199	299	1199
200	302	1201
201	302	1196
202	303	1192
203	304	1187
204	304	1182
205	305	1177
206	306	1173
207	306	1168
208	307	1164
209	308	1159
210	308	1154
211	309	1149
212	309	1144
213	310	1139
214	310	1135
215	311	1130
216	312	1126
217	312	1121
218	313	1116
219	313	1112
220	314	1109
221	316	1110
222	317	1106
223	318	1102
224	318	1098
225	319	1094
226	320	1089
227	320	1085
228	321	1081
229	321	1077
230	322	1073
231	323	1069
232	323	1065
233	324	1061
234	324	1056
235	325	1052
236	325	1048
237	326	1044
238	326	1040
239	327	1037
240	329	1038
241	330	1035
242	331	1031
243	331	1027
244	332	1024
245	332	1020
246	333	1016
247	334	1014
248	335	1010
249	335	1006
250	336	1003
251	336	999
252	337	995
253	337	991
254	338	988
255	338	984
256	339	981
257	340	978
258	340	975
259	341	971
260	341	968
261	344	971
262	345	968
263	346	965
264	346	961
265	347	958
266	347	955
267	348	951
268	349	948
269	349	945
270	350	942
271	350	938
272	351	935
273	351	932
274	352	929
275	352	925
276	353	922
277	354	919
278	354	916
279	355	913
280	355	910
281	356	907
282	356	903
283	357	901
284	359	901
285	359	898
286	360	895
287	361	892
288	361	889
289	362	887
290	362	884
291	363	881
292	363	878
293	364	875
294	365	872
295	365	869
296	366	866
297	366	864
298	367	861
299	367	858
300	368	855
301	369	852
302	369	850
303	370	847
304	370	844
305	371	842
306	371	839
307	372	837
308	375	840
309	376	837
310	376	835
311	377	832
312	378	829
313	378	827
314	379	824
315	379	822
316	380	819
317	380	816
318	381	814
319	382	811
320	382	809
321	383	806
322	383	804
323	384	801
324	384	799
325	385	796
326	385	794
327	386	791
328	387	790
329	390	792
330	390	790
331	391	787
332	392	785
333	392	783
334	393	780
335	393	778
336	394	775
337	394	773
338	395	771
339	396	768
340	396	766
341	397	764
342	397	761
343	398	759
344	398	757
345	399	755
346	399	752
347	400	750
348	401	748
349	401	745
350	402	744
351	404	744
352	405	742
353	406	740
354	406	738
355	407	736
356	407	734
357	408	732
358	409	730
359	409	728
360	410	725
361	410	723
362	411	721
363	411	719
364	412	717
365	412	715
366	413	713
367	414	711
368	414	709
369	415	706
370	415	704
371	416	702
372	416	700
373	417	698
374	420	700
375	420	698
376	421	696
377	421	694
378	422	692
379	422	690
380	423	688
381	424	686
382	424	684
383	425	682
384	426	681
385	426	679
386	427	677
387	428	675
388	428	673
389	429	671
390	429	669
391	430	667
392	430	665
393	431	663
394	432	662
395	434	662
396	435	661
397	436	659
398	436	657
399	437	656
400	438	654
401	439	653
402	439	651
403	440	649
404	440	647
405	441	645
406	441	643
407	442	641
408	442	639
409	443	638
410	444	636
411	444	634
412	445	632
413	445	631
414	446	629
415	447	627
416	450	630
417	451	628
418	452	627
419	452	625
420	453	623
421	453	621
422	454	620
423	455	618
424	455	616
425	456	614
426	456	612
427	457	611
428	457	609
429	458	607
430	458	605
431	459	604
432	460	602
433	460	600
434	461	599
435	462	597
436	463	596
437	464	595
438	464	594
439	465	592
440	466	590
441	466	588
442	467	587
443	467	585
444	468	584
445	468	582
446	469	580
447	469	579
448	470	577
449	471	575
450	471	574
451	472	572
452	472	570
453	473	569
454	473	567
455	474	565
456	474	564
457	475	562
458	477	562
459	477	561
460	478	559
461	479	558
462	479	556
463	480	555
464	481	553
465	482	552
466	482	550
467	483	549
468	483	547
469	484	546
470	485	544
471	485	543
472	486	541
473	486	540
474	487	538
475	487	536
476	488	535
477	488	533
478	489	532
479	489	530
480	490	529
481	493	530
482	494	529
483	494	527
484	495	526
485	496	524
486	496	523
487	497	521
488	498	520
489	498	519
490	499	517
491	500	516
492	500	514
493	501	513
494	501	512
495	502	510
496	503	509
497	503	507
498	504	506
499	504	504
500	505	503
501	508	504
502	509	503
503	510	502
504	510	500
505	511	499
506	512	497
507	512	496
508	513	495
509	514	494
510	514	492
511	515	491
512	516	489
513	516	488
514	517	487
515	517	485
516	518	484
517	518	482
518	519	481
519	520	480
520	522	480
521	523	479
522	524	477
523	524	476
524	525	475
525	525	473
526	526	472
527	527	471
528	527	470
529	528	468
530	529	467
531	530	466
532	530	464
533	531	463
534	531	462
535	532	460
536	532	459
537	533	457
538	533	456
539	534	455
540	536	455
541	537	454
542	538	453
543	539	451
544	539	450
545	540	449
546	540	447
547	541	446
548	542	445
549	542	444
550	543	442
551	544	441
552	544	440
553	545	438
554	545	437
555	546	436
556	546	434
557	547	433
558	547	432
559	548	430
560	549	429
561	549	428
562	552	429
563	553	427
564	554	426
565	554	425
566	555	424
567	556	423
568	557	422
569	557	420
570	558	419
571	559	418
572	559	417
573	560	415
574	560	414
575	561	413
576	561	411
577	562	410
578	563	409
579	563	408
580	565	408
581	567	407
582	567	406
583	568	404
584	569	403
585	569	402
586	570	401
587	571	400
588	571	399
589	572	397
590	573	397
591	574	395
592	574	394
593	575	393
594	576	392
595	576	390
596	577	389
597	577	388
598	578	387
599	579	386
600	582	386
601	583	385
602	583	384
603	584	383
604	584	381
605	585	380
606	586	379
607	587	378
608	587	377
609	588	376
610	589	375
611	589	373
612	590	372
613	590	371
614	591	370
615	592	369
616	592	367
617	593	366
618	594	365
619	595	364
620	596	363
621	596	362
622	597	361
623	598	360
624	598	359
625	599	358
626	599	356
627	600	355
628	601	354
629	601	353
630	602	352
631	602	350
632	603	349
633	603	348
634	604	347
635	604	346
636	605	345
637	606	343
638	606	342
639	607	341
640	607	340
641	609	339
642	610	339
643	611	337
644	612	336
645	612	335
646	613	334
647	614	333
648	614	332
649	615	331
650	616	330
651	616	329
652	617	328
653	617	326
654	618	325
655	619	324
656	619	323
657	620	322
658	620	321
659	621	320
660	621	318
661	622	317
662	626	318
663	627	317
664	628	316
665	628	315
666	629	314
667	630	313
668	630	312
669	631	311
670	632	309
671	632	308
672	633	307
673	633	306
674	634	305
675	634	304
676	635	303
677	635	301
678	636	300
679	636	299
680	637	298
681	638	297
682	639	296
683	640	296
684	641	294
685	641	293
686	642	292
687	643	291
688	643	290
689	644	289
690	644	288
691	645	287
692	645	286
693	646	285
694	647	283
695	647	282
696	648	281
697	648	280
698	649	279
699	649	278
700	650	277
701	650	276
702	651	275
703	651	274
704	652	272
705	655	272
706	655	271
707	656	270
708	657	270
709	658	268
710	659	267
711	659	266
712	660	265
713	660	264
714	661	263
715	661	262
716	662	261
717	662	260
718	663	259
719	663	258
720	664	257
721	665	256
722	665	254
723	666	253
724	666	252
725	667	251
726	668	251
727	671	250
728	671	249
729	672	248
730	672	247
731	673	246
732	674	245
733	674	244
734	675	243
735	675	242
736	676	241
737	676	240
738	677	239
739	677	238
740	678	237
741	678	236
742	679	234
743	679	233
744	680	232
745	681	231
746	681	230
747	682	229
748	683	228
749	684	228
750	685	227
751	686	226
752	686	225
753	687	224
754	687	223
755	688	222
756	688	221
757	689	220
758	690	219
759	690	218
760	691	217
761	691	216
762	692	214
763	692	213
764	693	212
765	693	211
766	694	210
767	694	209
768	695	208
769	695	207
770	696	206
771	697	205
772	698	205
773	700	204
774	701	203
775	701	202
776	702	201
777	702	200
778	703	199
779	703	198
780	704	197
781	704	196
782	705	195
783	705	194
784	706	193
785	707	192
786	707	191
787	708	190
788	708	189
789	709	188
790	709	187
791	710	186
792	711	185
793	711	184
794	712	183
795	712	182
796	713	181
797	714	180
798	715	179
799	716	179
800	716	178
801	717	177
802	718	176
803	718	175
804	719	174
805	719	173
806	720	172
807	720	171
808	721	170
809	721	169
810	722	168
811	722	167
812	723	166
813	724	165
814	724	164
815	725	163
816	725	162
817	726	161
818	726	160
819	729	160
820	730	159
821	730	158
822	731	157
823	732	156
824	732	155
825	733	154
826	733	153
827	734	152
828	734	151
829	735	150
830	735	149
831	736	148
832	737	147
833	737	146
834	738	145
835	738	144
836	739	143
837	739	143
838	740	142
839	740	141
840	741	140
841	741	139
842	745	138
843	746	137
844	747	137
845	747	136
846	748	135
847	749	134
848	749	133
849	750	132
850	750	131
851	751	130
852	751	129
